o_body,verdict,o_url
"Ret. Sgt. Gregory Hayes beat two Syrian refugees to death after they raped his daughter, and now faces life in prison.",false,1401
Plastic soda bottles left in unsuspecting residents' yards may be bottle bombs.,true,1828
President Obama added a record 572 pages of new regulations in one day.,false,548
Illegitimate child grows up to become Governor of Tennessee.,true,3326
Students of Sunny Oaks Elementary School in California were forced to cross dress for LGBT week.,false,119
Entering 'Automation Labs' into Facebook's 'Block List' option will display a list of twenty people who have access to your Facebook account.,false,383
Germany has banned pork from school canteens because it offends Muslim 'migrants.,false,2774
Anonymous student caught working on exam after time has been called shoves his blue book into stack and runs away.,false,3780
Pennsylvania passed a law banning New Jersey drivers from its highways.,false,3143
"After a 1977 episode of Happy Days aired, the American Library Association reported a nationwide 500% increase in library card applications from children.",false,3909
"The U.S. Bureau of Land Management (BLM) has voted to euthanize 44,000 wild horses.",false,3288
"An American Muslim man raped a 13-year-old girl in Ohio, and then was beaten by Trump supporters.",false,2281
Article details efforts of John Glenn's wife to overcome stuttering.,true,1316
A getaway car was struck by lightning after its occupants robbed a church.,false,555
The former Florida representative and wrote an angry column about 49ers quarterback Colin Kaepernick on his personal blog.,true,2890
Video shows Barack Obama kicking in a door after storming out of a meeting with Congressional leaders.,false,939
A video shows a car driving through a crowd of anti-Trump protesters on the highway.,false,3769
"Photographs show Katie Kirkpatrick, a 21-year-old cancer victim who passed away five days after her wedding.",true,2682
"Animals are fleeing Yellowstone Park, an indicator that a supervolcano eruption is imminent.",false,3733
Nancy Pelosi advocated implementing a 100% windfall tax on stock market profits and retirement income.,false,3497
Facebook and CNN are contributing money towards the medical care an infant car accident victim every time a message is shared.,false,2726
Donald Trump tweeted an image of his genitals following penis-related banter at a Republican debate.,false,256
Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.,false,3942
"Gang initiates are bumping their cars into others, then shooting whoever gets out of the bumped automobiles.",false,3124
"Dwight D. Eisenhower became president of Columbia University because the school's trustees confused him with his younger brother, Milton.",false,448
A woman was arrested for training squirrels to attack her ex-boyfriend.,false,1774
Photographs show a public toilet made with one-way glass walls.,true,2314
Image shows a racially contradictory sign imploring that everyone be treated equally.,false,1283
The user of solar panels drains the sun of energy.,false,1323
"At the end of 2009, Bank of America will be dropping FDIC coverage on all interest-bearing accounts.",false,1000
Hillary Clinton said that she would be 'disappointed' if her daughter Chelsea married a black man.,false,2454
A photograph shows a futuristic new Audi truck.,false,1613
Photograph shows a 12-week-old fetus.,false,1429
Toddlers killed more Americans than terrorists in 2015.,true,1467
Donald Trump said that he will deport all Nigerians if he gets elected president.,false,622
Thousands of pre-marked ballots for Hillary Clinton and other Democratic candidates were found in a warehouse in Ohio.,false,3091
U.S. Gymnastics coaches Bela and Marta Karolyi were illegal immigrants.,false,1544
"Mike Pence said that if abortion were allowed in cases of rape, then women would try to get raped in order to have abortions.",false,3484
Photograph captures United Airlines passengers wearing protective crash helmets.,false,2901
"If the vial to a mercury-containing vaccine is broken, the building must be evacuated.",false,101
122 detainees released from confinement at Guantanamo Bay under President Obama have re-engaged in terrorist activities.,false,3983
Comedian/actor Sinbad died of a heart attack in March 2007.,false,1733
Bags of rice sent to President Eisenhower helped dissuade him from launching an attack against China.,false,1147
Photographs show a woman hand-feeding hummingbirds.,true,3783
Wells Fargo and Chase are invested in the Dakota Access Pipeline.,true,3750
"The government will temporarily interrupt all television, radio, communications, and power in the U.S. on 9 November 2011.",true,2238
Barack Obama filed a lawsuit to require banks to 'make loans to poor people.,false,258
The Kenyan government has released '11 exclusive documents' suggesting that Barack Obama was born in that country.,false,3570
Apple's purge of 'fake news' apps from the App store started with the removal of Breitbart News in November 2016.,false,2461
Van Halen's standard performance contract contained a provision calling for them to be provided backstage with a bowl of M&Ms from which all the brown candies has been removed.,true,2241
Photographs show a boy having his arm crushed under a truck as a punishment for stealing bread.,false,1290
Georgia recently became the first U.S. state to 'ban Muslim culture.,false,343
A new law just passed in Louisiana makes it illegal to purchase used items with cash in that state.,false,3213
"Donald Trump's father, Fred Trump, ran a mayoral campaign advertisement called 'Dope Man' in 1969.",false,1682
Pregnant woman tries to beat carpool lane ticket by asserting her fetus counts as a second person.,true,1928
Forwarding an Internet chain letter will earn you scads of cash from IWon.com.,false,2203
Photographs show a toppled crane that fell through the first floor of a building under construction.,true,1755
Barack Obama is a 'radical Muslim' who 'will not recite the Pledge of Allegiance.,false,1827
"Democrats Bernie Sanders, Keith Ellison, Debbie Wasserman Schultz, and Nancy Pelosi refused to stand and clap for Navy SEAL widow Carryn Owens during a presidential speech.",false,1127
The President of the United States of America has asked the nations of the world to mark December 11 2001 with expressions of remembrance of the September 11 attacks.,true,1397
"A photograph of Franklin, the one black character on 'Peanuts,' sitting alone on Thanksgiving documents that the creator of 'Peanuts' was racist.",false,356
A federal judge has ordered Barack Obama to prove his eligibility for the presidency in court on 26 January 2010.,false,1995
"Pat Robertson claimed David Bowie wasn't dead, but instead that 'demons kidnapped him to entertain them in Hell.",false,1994
A 1991 literary client list promotional booklet identified Barack Obama as having been born in Kenya.,true,1454
The 2004 flu vaccine shortage was attributable to a lawsuit handled by Vice-Presidential candidate John Edwards.,false,549
Jill Stein endorsed Donald Trump for President.,false,605
Pop star Lady Gaga is an 'hermaphrodite.,false,3090
Photographs show the passenger cabin of an airliner as it broke up in mid-air.,false,1392
Photograph shows sailors spelling out the words 'FUCK IRAQ' on the deck of a U.S. aircraft carrier.,false,263
The Salvation Army charges families for clothing and toys donated to them through the Angel Tree program.,false,1079
Video clip shows a car with color-changing 'paramagnetic paint.,false,1142
"During the 19th and 20th centuries, some U.S. cities enacted so-called 'ugly laws' banning people deemed 'diseased, maimed, mutilated or in any way deformed so as to be an unsightly or disgusting object or improper person' from public spaces.",true,1178
Photograph shows a dog injured by fireworks placed in its mouth.,true,2282
"In 2005, Senator Hillary Clinton co-sponsored a bill to make flag burning a punishable offense.",true,2653
A video depicts a young woman's struggling to open a can of Spaghetti-Os as a crowd watches and cheers her eventual hard-won victory.,false,3932
A NYC firefighter's dare to Osama bin Laden brought about the crash of American Airlines Flight 587.,false,3470
Actor Christopher Walken is planning on making a bid for the U.S. presidency in 2008.,false,2067
Editorial by Dr. Jack Wheeler describes Barack Obama as an 'eloquently tailored empty suit.,true,3160
Common usage of the phrase 'Always a bridesmaid but never a bride' originated with an advertising campaign for Listerine mouthwash.,true,3328
Former FBI Director James Comey sent a tweet about the 'pee tape' shortly after getting fired.,false,1010
"Under Obamacare, patients 76 and older must be admitted to the hospital by their primary care physicians in order to be covered by Medicare.",false,38
Students at Bowdoin College in Maine were offered counseling because a party involved mini sombreros.,false,3885
Anthony Weiner was placed in protective custody until he can testify against Hillary Clinton.,false,3397
Bubble Yum chewing gum contains spider eggs.,false,1308
Bernie Sanders is one of the few 2016 presidential candidates (if not the only one) to pay his campaign interns.,true,246
The word 'guacamole' literally translates as 'testicle sauce.,false,1293
Video shows a girl pulling puppies from a bucket and throwing them into a river.,true,3400
Hundreds of people with physical ailments have reported being healed by a touch from Barack Obama.,false,1779
Former Subway spokesman Jared Fogle was released from prison and placed on house arrest due to overcrowding.,false,1396
Russian president Vladimir Putin threatened the U.S. over the Obama administration's support of Monsanto.,false,3419
President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht.,false,3206
President Donald Trump signed an executive order to buy all of his daughter Ivanka's Chametz.,false,254
A father attempted to sell his toddler son on Craigslist to fund the purchase of a new Apple Watch.,false,37
Internet celebrity 'Damn Daniel' was mugged and robbed of his shoes.,false,278
Photographs show amazing micro-sculptures created by Willard Wigan.,true,2579
The Ramnit worm has been stealing Facebook credentials.,true,117
"Temple Baptist Church was built on land sold for fifty-seven cents, the amount saved by a little girl who had been turned away from its Sunday school.",false,2041
A photograph shows a man posing with a horse he killed in Australia with a bow and arrow.,true,4001
Pope Francis has endorsed Bernie Sanders for President.,false,2330
"Pilot Travel Center in Mebane, North Carolina installed urinals in the ladies' room.",false,3019
Republican presidential candidate Donald Trump has died of a 'violent heart attack.,false,1137
Photographs show prototype of a new F/A-37 'Talon' military plane.,false,1932
"Facebook is about to close your account, citing violation of its policies.",false,282
Every high school marching band in Washington D.C. is boycotting Donald Trump's inauguration.,false,2356
A paramedic saved the doctor who saved his life as a baby.,true,352
Ronald Reagan went golfing after the 1983 terrorist bombing of a U.S. Marines barrack in Beirut.,false,193
Eric Holder participated in the armed occupation of a Columbia University ROTC office in 1970.,false,1042
The venomous 'two-striped telamonia' spider lurks beneath toilet seats in public restrooms.,false,2448
Tom Hanks said in a television interview that he backs Donald Trump for president.,false,1452
Barack Obama never mentioned Israel by name in either of the first two 2008 presidential debates.,false,752
Gary Johnson once said 'global warming is in our future' because 'the sun is going to actually grow and encompass the Earth.,true,2311
A woman who performs a kindness for a stranger is rewarded by his telling her to avoid a certain place on a certain day.,false,3369
"Farmers feed their cattle candy, such as Skittles.",true,2284
Maraschino cherries are produced using a toxic dye that has been banned for human consumption.,false,9
"In the autumn of 2001, fear of exposure to anthrax delivered by mail ran high.",true,3870
Wheaties cereal sticks to magnets because it has metal flakes.,true,736
Baby carrots are not made from deformed full-sized carrots that have been soaked in chlorine.,false,2800
"An Indiana man filmed Comcast Xfinity repairmen causing automobile accidents, then refusing to take responsibility.",true,2291
All live music played anywhere in the U.S. now requires a permit from the Department of Homeland Security.,false,2289
A law passed in Texas would ban non-Christians from adopting children.,false,3716
Muslims assaulted a Denny's waitress for serving bacon during the holy month of Ramadan.,false,1819
"Salt lamps, because they emit negatively charged ions, impart myriad health benefits including reduced anxiety, improved sleep, increased energy, and protection from an 'electric smog.",false,1961
"President Obama said that 'if we pass more gun laws, crime will go away.",false,666
Keanu Reeves lamented the objectification of women in an uncharacteristic way.,false,30
Rapper Kanye West said he is a 'proud non-reader of books.,true,2456
George Washington said that Jews were a dangerous scourge who should be 'hunted down as pests.,false,1249
An eyeball-licking fad has produced a widespread outbreak of ocular maladies among Japanese schoolchildren.,false,819
A damaged nuclear reactor at Fukushima Daiichi is about to fall into the ocean.,false,2403
The cast of M*A*S*H did not learn of Col. Blake's death until they were actually filming the scene in which it was announced.,false,1303
Text describes the process of producing mechanically separated chicken.,true,293
The flu shot is dangerous and full of risks the pharmaceutical companies don't want you to know about.,false,1570
A new executive order gives INTERPOL license to operate with impunity within the U.S.,true,3350
The state of California is fining 'Ice Bucket Challenge' participants for wasting water.,false,2776
"Videos show tornadoes in Cape Town, South Africa.",false,185
President Bill Clinton held up air traffic at LAX in 1993 to get a $200 haircut on Air Force One.,false,2345
Mexican drug kingpin Joaquín 'El Chapo' Guzmán donated millions of dollars to Hillary Clinton's 2016 presidential campaign.,false,3557
An x-ray image shows a live cockroach in a patient's chest in Zimbabwe.,false,449
"UNESCO declared India's national anthem, 'Jana Gana Mana,' to be the world's best.",false,1795
Crocodile hunter Steve Irwin became a born-again Christian a few weeks before he died.,false,2577
Neil DeGrasse Tyson said his interest in 'astrological [physics]' stemmed from his experience stealing and consuming large quantities of LSD as a young teen in Harlem.,false,1391
Caitlyn Jenner regrets transitioning to female and wishes to de-transition.,false,1355
Photographs show examples of a body modification practice known as corset piercing.,true,2206
Beyonce has not been banned from performing in Canada based on her 2016 Super Bowl halftime performance.,false,52
A stunned animal dressed up for a photo gains revenge on his tormentors.,false,2318
Chick-fil-A is offering free Mother's Day lunches on 14 May 2017.,false,292
Wegmans is offering a coupon for $200 off a purchase to Facebook users who complete a short series of steps.,false,912
Setting your Apple device's date to 1 January 1970 will reveal a retro-themed Easter egg.,false,678
"The week after Hurricane Katrina hit the Gulf Coast, the game show The Price Is Right aired an episode offering contestants a trip to New Orleans as a prize.",true,153
Mexican drug cartel leader Joaquin 'El Chapo' Guzman has threatened to wage war against ISIS.,false,2991
A 2010 calendar distributed by Publix supermarkets identifies December 7 as 'Islamic New Year.,true,1897
Fox News has hired Whoopi Goldberg.,false,846
An e-mail chain revealed by WikiLeaks documents that Hillary Clinton privately maintains an anti-marriage equality stance while publicly stating otherwise.,false,1494
Milk-Bone dog treats cause cancer in one of every two dogs that eat them.,false,3754
Obama administration representatives meeting with the auto industry advocated legislatively changing the laws of physics.,false,3447
The CDC issued an apology because the 2014-15 flu shot doesn't work.,false,3823
The jilted wife of the owner of Home Depot created the Lowe's chain of home improvement stores.,false,1116
Pope Francis said belief in God is not necessary to be a good person.,false,3360
A photograph depicts a glamorous 'young Harriet Tubman.,false,3634
Anti-seat belt law advocate is killed in automobile accident.,true,1082
There are more trees on Earth than there are stars in the Milky Way galaxy.,true,2849
Republican VP candidate Mike Pence doesn't want to be referred to as the vice president because he opposes use of the word 'vice' on religious grounds.,false,1869
A photograph shows a rare Nagapushpa flower that blooms only once every 36 years.,false,1646
Malia Obama traveled to Mexico in March 2012.,true,3855
"Warren Buffett quipped that he could end the deficit by passing 'a law that says anytime there is a deficit of more than 3% of GDP, all sitting members of Congress are ineligible for re-election.",true,3212
Hillary Clinton paid an actor to dress up in Navy attire for a Memorial Day parade.,false,1521
"No Fear, Inc. a popular retailer, was confused with the National Organization for European American Rights (N.O.F.E.A.R.), a white supremacist organization.",true,3347
A food writer lapsed into a butter-induced coma after consuming 413 Red Lobster biscuits.,false,3955
Michael Jordan was robbed of his shoes at gunpoint during an in-store sneaker signing appearance.,false,233
"Forwarding an e-mail message will help Amy Bruce, a 7-year-old girl dying of lung cancer and a brain tumor.",false,1830
A woman shot and killed her boyfriend after an April Fool's Day marriage proposal prank.,false,3011
Feminine hygiene products are subject to sales tax in most states.,true,104
You can receive any of the following rewards from various companies by simply forwarding an e-mail message or clicking a share link:,false,962
The U.S. dollar will officially collapse after 1 July 2014 due to the implementation of H.R. 2847.,false,2818
A list collects statements about rape made by Republican politicians.,true,2538
Actor James Garner detected the presence of an enemy patrol during the Korean War through the smell of garlic.,true,3322
Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.,false,1804
Comedian Tommy Chong of 'Cheech and Chong' fame passed away in February 2017.,false,3982
A new Pepsi soda can design omits the words 'under God' from the Pledge of Allegiance.,false,154
Photos taken with your smartphone can provide others with the locations of the people pictured and allow hackers to clone your phone.,true,551
Image presents information about Costco CEO James Sinegal.,true,2809
A longtime anti-gun state legislator shot a home intruder in defense of his property.,false,146
Some residence locks are vulnerable to unauthorized entry through the use of 'bump keys.,true,3722
Muslims were banned from immigrating to the United States in 1952 under the provisions of the Immigration and Nationality Act.,false,3386
"Walmart is distributing free $100 or $1,000 gift cards to users who click an online link.",false,3873
Dwayne Johnson was arrested for illegally importing human growth hormone (HGH) into Australia.,false,3325
"Nordstrom sells a rock in a leather pouch for $85, and a smaller version for $65.",true,3195
Video clip shows a Swedish policeman dancing on the job.,false,2609
A school in Maryland required children to cross-dress for a 'LGBTQ Appreciation Day' event.,false,834
A United Airlines flight attendant slapped a 7 month-old baby in the face for crying during a flight.,false,2120
President Obama permitted the first-ever Satanic ceremony at a State Capitol.,false,1756
"A video shows Londoners expressing support for the US President, following a June 2017 terrorist attack in the city",false,810
"After a bank failure, the FDIC has 99 years to pay back insured deposits.",false,1571
"On 20 April 2017 a Green Moon will appear in the sky, a rare event that only occurs every 420 years.",false,3377
President Trump's grandfather Friedrich unsuccessfully petitioned the government of Bavaria (now southeast Germany) not to deport him and his family.,true,1846
Pitcher Gaylord Perry fulfilled his manager's prophecy by hitting his first home run minutes after Apollo 11 landed on the lunar surface.,false,682
"A cat that had helped itself to salmon mousse prepared for an upcoming dinner party later turns up dead. The hostess, fearful her dish is poisoned, convinces her guests to rush to the hospital and get their stomachs pumped. Later that evening a neighbor comes over to apologize for running over the cat.",false,1968
Pope Francis endorsed Donald Trump for president.,false,1080
Criminal gangs in Arlington are staging medical emergencies to lure drivers out of their cars and rob them.,true,317
The Food Safety Modernization Act of 2009 would eliminate home gardens and put organic farmers out of business.,false,1610
"Photographs show Donald Trump's sons, Donald Jr. and Eric, posing during a big game hunting trip.",true,1269
A good samaritan warns a female driver about the armed and dangerous man hiding in the back seat of her car.,false,1153
A video shows the Muslim world's reaction to President Obama's claim that climate change is threatening America.,false,963
A photograph shows an overhead view of shadows cast by camels in the desert.,true,1227
An epidemic has resulted in an outbreak of 'zombism.,false,3426
HUD director Ben Carson found more than $500 billion in accounting errors at the federal agency.,false,2645
The word gringo came from Mexicans' overhearing American soldiers sing the song 'Green Grow the Lilacs' during the Mexican-American War.,false,2866
Hillary Clinton trashed Beyonce using racial slurs at a November 2016 campaign event.,false,1813
A photograph shows a baby moose holding a rainbow flag.,false,3613
President Trump tweeted on 14 February 2017 that Betsy DeVos was correct in suggesting disabled students are disruptive in the classroom.,false,1479
Mitt Romney's son Tagg owns a company that manufactures voting machines.,false,690
Pokémon Go developer Niantic is working on a Harry Potter version of the hugely popular augmented-reality game.,true,2722
Paula Deen has been hired to host a cooking show for Fox News.,false,198
The app Down to Lunch is a covert tool for human trafficking.,false,481
An image shows the heavily armed officers of United Airlines' Special Seating and Apparel Division.,false,3594
Is the GOP's Obamacare Replacement Called 'World's Greatest Healthcare Plan of 2017'?,false,1414
Greek citizens are self-inflicting HIV in order to collect government benefits.,false,3118
Tires or bumpers of cars parked outside gun stores are marked by gangs to later identify them as potential gun theft opportunities.,false,1696
Author Homer Hickam fretted in an interview that Democratic candidates might scrap military programs and begin baking cookies for the enemy.,false,100
Radio talk show host Neal Boortz delivered a controversial commencement speech at Texas A&M.,false,73
The NYPD captured a supposedly deceased FBI agent breaking into Trump Tower with a silenced pistol.,false,2994
Actress Ann-Margret autographed a tattered photo presented to her at a book signing by an ex-G.I. and thanked him for serving his country.,true,2821
Former 'Full House' star Ashley Olsen was murdered.,false,2419
"When Winston Churchill was asked to cut arts funding to support the war effort, he replied: 'Then what are we fighting for?'",false,1511
A bill passed by the California legislature seeks to designate May 22 as Harvey Milk Day.,true,2756
'Family Matters' star Reginald VelJohnson died of a heart attack in February 2017.,false,4030
Abraham Lincoln authored a list of maxims beginning with 'You cannot bring about prosperity by discouraging thrift.,false,59
Retailer Forever 21 is selling rings and other jewelry that include swastikas.,false,1206
Julian Assange was kidnapped from the Ecuadorean embassy in London and murdered in April 2017.,false,2091
"6,000 Muslim migrants with forged papers were captured trying to cross the U.S.-Mexico border.",false,2116
A tradition of celebrating Veterans Day with ravioli dinners was initiated by President Woodrow Wilson in 1919.,false,4027
The Tommy Tutone song '867-5309/Jenny' prompted a flood of calls to that phone number.,true,1847
Using cruise control on wet roads or during heavy rain can cause you to lose control of your vehicle.,true,36
Coca-Cola's 'Share A Coke' campaign includes a bottle for the KKK.,false,1218
David Letterman offered a 'Top Ten' list about why there are no black NASCAR drivers.,false,2236
The United States is returning the Statue of Liberty to France.,false,2407
Ronald Reagan met with the Taliban in 1985 and compared them to the founding fathers of the United States.,false,1927
Schoolkids are smoking and injecting crushed bedbugs to get high from a hallucinogenic substance they contain.,false,1056
"Opossums kill thousands of ticks each week, inhibiting the spread of Lyme Disease to humans.",true,1112
A Certified Registration of Birth issued in Kenya documents that Barack Obama was born in that country.,false,1887
Whoopi Goldberg said that 'military widows love their 15 minutes in the spotlight.,false,2005
"President Obama was evicted from a Washington, D.C., mansion for damaging the building.",false,2043
Japanese engineers have created a robotic bear to aid in assisted suicides.,false,1353
CIA director Leon Panetta's daughter is a 'radical anti-American.,false,3021
"Chick-fil-A provided free food to motorists stranded during a blizzard in Birmingham, Alabama.",true,2701
George Zimmerman is suing Trayvon Martin's parents for their failure to control their son.,false,318
Police have documented cases of people randomly distributing poisoned goodies to children on Halloween.,false,2272
Anti-Trump protesters beat a homeless veteran to death in Philadelphia.,false,1255
ABC News' 20/20 co-anchor John Stossel was fired for trying to air a piece critical of health care reform.,false,600
Paul Simon took the title of his song 'Mother and Child Reunion' from the name of a chicken-and-egg dish he spotted on a Chinese restaurant's menu.,true,2752
The Amish don't get autism because they do not vaccinate their children.,false,1672
U.S. General John J. Pershing effectively discouraged Muslim terrorists in the Philippines by killing them and burying their bodies along with those of pigs.,false,4015
CBS has announced plans to produce a made-for-TV movie about the Terri Schiavo case.,false,3395
Axel Springer CEO Mathias Döpfner wrote an editorial for Die Welt blasting Europe for its timidity in confronting Islamic fanaticism.,true,3858
A doctor operated for free on a girl who years earlier had given him a glass of milk.,true,2180
"Stanford University rejected all applicants for the Class of 2020, cementing their status as an upper-crust institution.",false,1720
Article demonstrates how to eliminate U.S. oil imports from Middle Eastern countries.,false,907
An photograph shows a sleepy cheetah at a greyhound race.,false,1623
Hotel room keycards are routinely encoded with personal information which can be easily harvested by thieves.,false,2986
The second season of 'Stranger Things' will be written by Stephen King.,false,3698
President Obama issued an order providing funds to 'allow hundreds of thousands of Palestinians to resettle in the United States.,false,2036
Eerie clouds over Geneva were caused by the particle collider at CERN opening a portal to a new dimension.,false,3774
"A photograph shows a group of sheep squeezing through a gate, despite no fence hemming them in.",false,2519
The FBI's 'Department for Illegal Internet Downloads' is sending out automated warning messages via e-mail.,false,2634
Actor Denzel Washington made a large donation to the Fisher House Foundation after visiting Brooke Army Medical Center.,true,1946
A study found that 80 percent of black men in Georgia were homosexual.,false,27
A law enforcement officer in Texas was shot and killed by '3 Muslim refugee' [sic],false,1724
President Obama fired Rear Admiral Rick Williams for 'questioning' the President's purported recent purchase of a mansion in Dubai.,false,509
'Scarface' is being remade with Leonardo DiCaprio cast as Tony Montana.,false,385
The Trump Organization won a contract to rebuild the Syrian airport destroyed in a United States missile attack.,false,2980
Actor Jackie Chan was killed in an accident while filming a movie.,false,1905
"Photograph shows 5,000 UCLA students holding 'a candlelight vigil for fallen ISIS soldiers.",false,1802
"Images show the USS New York, a ship built using steel from the World Trade Center.",true,2689
Products from Pepsi and other major food producers are 'manufactured using the tissue of aborted human babies.,false,3316
Children's Webkinz are being murdered online.,false,837
Sen. David Perdue advised attendees to offer up an ominous prayer aimed at President Obama during the 2016 Faith & Freedom Coalition's Road to Majority conference.,true,3257
A photograph showing a woman walking down a nearly empty supermarket aisle was taken in Venezuela.,false,884
A man was attacked and raped in Atlanta by a gay gang known as the 'Sweet Bloods.,false,439
The FCC is considering modifying its indecency policies regarding the use of profanity and non-sexual nudity on radio and television.,true,604
An Alabama middle school sent a letter to parents requesting canned goods to be used for defense against intruders.,true,1593
A new penile implant notifies spouses via cell phone alerts when their husbands are cheating on them.,false,614
Charles Shaw wine was sold cheaply because airlines could no longer use corkscrews after 9/11 and dumped their stocks of wine.,false,1373
"Actor Jamie Foxx said of his upcoming film, 'I kill all the white people in the movie ... How great is that?'",true,3874
President-Elect Donald Trump appointed Sarah Palin Science and Technology Advisor.,false,2243
A college student wound up in a coma after ingesting two gallons of semen as part of a social media challenge.,false,1988
"Canada, Norway, and Germany each offer federally paid family leave programs ranging from 35 weeks to 1 year in length.",true,1428
Congress will not allow Social Security recipients to get a COLA increase while Obamacare raises the cost of Medicare premiums.,false,1179
Top-secret footage shows a giant walking in Japan.,false,1513
A 13-year-old Philadelphia girl named Ashley Flores is missing.,false,1350
Clowns are planning a 'purge night' on Halloween (or the night before).,false,3465
Improperly stored or discarded 9-volt batteries can touch off house fires.,true,3859
A photograph shows Paul McCartney wearing a t-shirt with the word 'adopt' written across the chest.,false,1950
Billionaire David Rockefeller received his sixth heart transplant at the advanced age of 99.,false,103
Circulating photo set accurately compares school lunches from other countries with American offerings that are paltry due to the interference of Michelle Obama.,false,2003
"Photographs show the 'parrot plant,' a plant whose flowers resemble a parrot in flight.",true,1171
"Vatican City, the Taj Mahal, Yankee Stadium and five other landmarks could all fit inside the Indianapolis Motor Speedway.",true,3668
"WhatsApp will share personal user information with Facebook, who will make it publicly available.",false,1339
A photograph shows 'the darkest baby in the world.,false,7
Texting 'FOOD' to 877-877 will give you a nearby location where free meals are available for children during the summer.,true,3439
Scientists have discovered that solar panels drain the sun's energy.,false,3568
Telemarketers are luring those who've signed up for the national 'Do Not Call' list by getting them to request coupons for free products.,true,873
