type,word1,pos1,priorpolarity
0.3,accomplishments,NN,1.0
0.3,accord,VB,1.0
0.3,accordance,NN,1.0
0.3,accordantly,RB,1.0
0.3,accost,VB,-1.0
0.3,accountable,JJ,-1.0
0.3,accurate,JJ,1.0
0.3,accurately,JJ,1.0
0.7,accursed,JJ,-1.0
0.7,accusation,JJ,-1.0
0.7,accusation,NN,-1.0
0.7,accusations,JJ,-1.0
0.7,accusations,NN,-1.0
0.7,accuse,VB,-1.0
0.7,accuses,VB,-1.0
0.7,accusing,ANY,-1.0
0.7,accusingly,ANY,-1.0
0.7,acerbate,VB,-1.0
0.7,acerbic,JJ,-1.0
0.7,acerbically,RB,-1.0
0.7,ache,VB,-1.0
0.3,achievable,JJ,1.0
0.3,achieve,VB,1.0
0.3,achievement,ANY,1.0
0.3,achievements,ANY,1.0
0.3,acknowledge,VB,1.0
0.3,acknowledgement,NN,1.0
0.3,acquit,VB,1.0
0.7,acrid,JJ,-1.0
0.7,acridly,ANY,-1.0
0.7,acridness,NN,-1.0
0.7,acrimonious,JJ,-1.0
0.7,acrimoniously,ANY,-1.0
0.7,acrimony,NN,-1.0
0.3,active,JJ,1.0
0.7,activist,JJ,0.0
0.7,activist,NN,0.0
0.7,actual,ANY,0.0
0.7,actuality,ANY,0.0
0.7,actually,ANY,0.0
0.7,acumen,NN,1.0
0.7,adamant,JJ,-1.0
0.7,adamantly,ANY,-1.0
0.3,adaptable,JJ,1.0
0.3,adaptability,NN,1.0
0.3,adaptive,JJ,1.0
0.3,addict,NN,-1.0
0.3,addiction,NN,-1.0
0.3,adept,JJ,1.0
0.3,adeptly,RB,1.0
0.3,adequate,JJ,1.0
0.3,adherence,NN,1.0
0.3,adherent,JJ,1.0
0.3,adhesion,NN,1.0
0.7,admirable,JJ,1.0
0.7,admirer,NN,1.0
0.7,admirable,ANY,1.0
0.7,admirably,ANY,1.0
0.7,admiration,NN,1.0
0.7,admire,VB,1.0
0.7,admiring,JJ,1.0
0.7,admiringly,JJ,1.0
0.3,admission,JJ,1.0
0.3,admission,NN,1.0
0.7,admit,VB,1.0
0.7,admittedly,ANY,1.0
0.7,admonish,VB,-1.0
0.7,admonisher,ANY,-1.0
0.7,admonishingly,ANY,-1.0
0.7,admonishment,ANY,-1.0
0.7,admonition,NN,-1.0
0.7,adolescents,JJ,0.0
0.7,adolescents,NN,0.0
0.7,adorable,JJ,1.0
0.7,adore,VB,1.0
0.7,adored,JJ,1.0
0.7,adorer,ANY,1.0
0.7,adorer,NN,1.0
0.7,adoring,JJ,1.0
0.7,adoringly,ANY,1.0
0.3,adrift,ANY,-1.0
0.7,adroit,JJ,1.0
0.7,adroitly,JJ,1.0
0.7,adulate,VB,1.0
0.7,adulation,ANY,1.0
0.7,adulatory,JJ,1.0
0.7,adulterate,VB,-1.0
0.7,adulterated,ANY,-1.0
0.7,adulteration,NN,-1.0
0.3,advanced,JJ,1.0
0.3,advantage,JJ,1.0
0.3,advantage,NN,1.0
0.7,advantageous,JJ,1.0
0.3,advantages,JJ,1.0
0.3,advantages,NN,1.0
0.3,adventure,JJ,1.0
0.3,adventure,NN,1.0
0.7,adventuresome,NN,1.0
0.7,adventurism,NN,1.0
0.3,adventurous,JJ,1.0
0.3,adversarial,JJ,-1.0
0.3,adversary,NN,-1.0
0.3,adverse,JJ,-1.0
0.7,adversity,NN,-1.0
0.3,advice,JJ,1.0
0.3,advice,NN,1.0
0.3,advisable,NN,1.0
0.7,advocate,VB,1.0
0.7,advocacy,NN,1.0
0.7,affable,JJ,1.0
0.3,affability,NN,1.0
0.3,affably,RB,1.0
0.3,affect,VB,0.0
0.3,affectation,NN,-1.0
0.7,affected,JJ,0.0
0.7,affection,JJ,1.0
0.7,affection,NN,1.0
0.7,affectionate,JJ,1.0
0.3,affinity,NN,1.0
0.7,affirm,VB,1.0
0.7,affirmation,JJ,1.0
0.7,affirmation,NN,1.0
0.3,affirmative,NN,1.0
0.3,afflict,VB,-1.0
0.3,affliction,NN,-1.0
0.7,afflictive,JJ,-1.0
0.3,affluent,JJ,1.0
0.3,affluence,NN,1.0
0.3,afford,VB,1.0
0.3,affordable,JJ,1.0
0.7,affront,NN,-1.0
0.7,affront,VB,-1.0
0.3,afloat,JJ,1.0
0.7,afraid,JJ,-1.0
0.3,against,ANY,-1.0
0.7,aggravate,VB,-1.0
0.7,aggravating,JJ,-1.0
0.7,aggravation,NN,-1.0
0.7,aggression,JJ,-1.0
0.7,aggression,NN,-1.0
0.7,aggressive,ANY,-1.0
0.7,aggressiveness,NN,-1.0
0.7,aggressor,NN,-1.0
0.7,aggrieve,VB,-1.0
0.7,aggrieved,JJ,-1.0
0.7,aghast,JJ,-1.0
0.3,agile,JJ,1.0
0.3,agilely,RB,1.0
0.3,agility,NN,1.0
0.7,agitate,VB,-1.0
0.7,agitated,JJ,-1.0
0.7,agitation,NN,-1.0
0.7,agitator,NN,-1.0
0.7,agonies,NN,-1.0
0.7,agonize,VB,-1.0
0.7,agonizing,JJ,-1.0
0.7,agonizing,ANY,-1.0
0.7,agonizingly,ANY,-1.0
0.7,agony,NN,-1.0
0.7,agree,VB,1.0
0.7,agreeability,ANY,1.0
0.3,agreeable,JJ,1.0
0.7,agreeable,ANY,1.0
0.7,agreeableness,ANY,1.0
0.7,agreeably,ANY,1.0
0.3,agreement,JJ,1.0
0.3,agreement,NN,1.0
0.7,aha,ANY,0.0
0.3,ail,NN,-1.0
0.3,ail,VB,-1.0
0.3,ailment,NN,-1.0
0.7,aimless,JJ,-1.0
0.7,air,VB,0.0
0.3,airs,JJ,-1.0
0.3,airs,NN,-1.0
0.3,alarm,JJ,-1.0
0.3,alarm,VB,-1.0
0.7,alarmed,JJ,-1.0
0.7,alarming,JJ,-1.0
0.7,alarmingly,ANY,-1.0
0.7,alas,ANY,-1.0
0.3,alert,JJ,0.0
0.3,alienate,VB,-1.0
0.3,alienated,JJ,-1.0
0.3,alienation,NN,-1.0
0.3,all-time,JJ,0.0
0.3,all-time,NN,0.0
0.7,allay,VB,1.0
0.7,allegation,ANY,-1.0
0.7,allegations,JJ,-1.0
0.3,allege,VB,-1.0
0.7,allegations,NN,-1.0
0.7,allegorize,VB,0.0
0.3,allergic,JJ,-1.0
0.3,alleviate,VB,1.0
0.7,alliance,ANY,0.0
0.7,alliances,JJ,0.0
0.7,alliances,NN,0.0
0.3,allow,VB,1.0
0.3,allowable,JJ,1.0
0.7,allure,VB,1.0
0.7,allure,NN,1.0
0.7,alluring,ANY,1.0
0.7,alluringly,ANY,1.0
0.7,allusion,JJ,0.0
0.7,allusion,NN,0.0
0.7,allusions,ANY,0.0
0.7,ally,NN,1.0
0.7,almighty,JJ,1.0
0.7,aloof,JJ,-1.0
0.3,altercation,NN,-1.0
0.3,although,ANY,-1.0
0.7,altogether,ANY,0.0
0.7,altruist,NN,1.0
0.7,altruistic,JJ,1.0
0.7,altruistically,JJ,1.0
0.7,amaze,VB,1.0
0.7,amazed,JJ,1.0
0.7,amazement,NN,1.0
0.7,amazing,JJ,1.0
0.7,amazing,ANY,1.0
0.7,amazingly,ANY,1.0
0.7,ambiguous,JJ,-1.0
0.7,ambiguity,NN,-1.0
0.3,ambitious,JJ,1.0
0.3,ambitious,NN,1.0
0.3,ambitiously,ANY,1.0
0.7,ambivalence,ANY,-1.0
0.7,ambivalent,JJ,-1.0
0.7,ambivalent,NN,-1.0
0.3,ambush,NN,-1.0
0.3,ambush,VB,-1.0
0.7,ameliorate,VB,1.0
0.7,amenable,JJ,1.0
0.3,amenity,NN,1.0
0.7,amiability,NN,1.0
0.7,amiabily,RB,1.0
0.7,amiable,JJ,1.0
0.7,amicability,NN,1.0
0.7,amicable,JJ,1.0
0.7,amicably,RB,1.0
0.7,amiss,ANY,-1.0
0.3,amity,JJ,1.0
0.3,amity,NN,1.0
0.3,amnesty,NN,1.0
0.7,amour,NN,1.0
0.3,ample,JJ,1.0
0.3,amply,RB,1.0
0.3,amplify,VB,0.0
0.3,amputate,VB,-1.0
0.7,amuse,VB,1.0
0.7,amusement,JJ,1.0
0.7,amusement,NN,1.0
0.7,amusing,JJ,1.0
0.7,amusing,ANY,1.0
0.7,amusingly,ANY,1.0
0.3,analytical,JJ,0.0
0.7,anarchism,NN,-1.0
0.7,anarchist,NN,-1.0
0.7,anarchistic,JJ,-1.0
0.7,anarchy,NN,-1.0
0.3,anemic,JJ,-1.0
0.3,angel,NN,1.0
0.7,angelic,JJ,1.0
0.7,anger,JJ,-1.0
0.7,anger,NN,-1.0
0.7,anger,VB,-1.0
0.7,angrily,ANY,-1.0
0.7,angriness,ANY,-1.0
0.7,angry,JJ,-1.0
0.7,anguish,NN,-1.0
0.7,anguish,VB,-1.0
0.7,annihilate,VB,-1.0
0.7,annihilation,NN,-1.0
0.3,animated,JJ,1.0
0.7,animosity,NN,-1.0
0.7,annoy,VB,-1.0
0.7,annoyance,NN,-1.0
0.7,annoyed,JJ,-1.0
0.7,annoying,JJ,-1.0
0.7,annoying,ANY,-1.0
0.7,annoyingly,ANY,-1.0
0.3,anomalous,JJ,-1.0
0.3,anomaly,NN,-1.0
0.7,antagonism,NN,-1.0
0.3,antagonist,NN,-1.0
0.7,antagonistic,JJ,-1.0
0.7,antagonize,VB,-1.0
0.7,anti-,NN,-1.0
0.7,anti-American,JJ,-1.0
0.7,anti-American,NN,-1.0
0.7,anti-Israeli,JJ,-1.0
0.7,anti-Israeli,NN,-1.0
0.7,anti-Semites,JJ,-1.0
0.7,anti-Semites,NN,-1.0
0.7,anti-US,JJ,-1.0
0.7,anti-US,NN,-1.0
0.7,anti-occupation,JJ,-1.0
0.7,anti-occupation,NN,-1.0
0.7,anti-proliferation,JJ,-1.0
0.7,anti-proliferation,NN,-1.0
0.7,anti-social,JJ,-1.0
0.7,anti-white,JJ,-1.0
0.7,anti-white,NN,-1.0
0.7,antipathy,NN,-1.0
0.7,antiquated,JJ,-1.0
0.7,antithetical,JJ,-1.0
0.7,antithetical,NN,-1.0
0.7,anxieties,NN,-1.0
0.7,anxiety,NN,-1.0
0.7,anxious,ANY,-1.0
0.7,anxiously,ANY,-1.0
0.7,anxiousness,NN,-1.0
0.7,anyhow,ANY,0.0
0.7,anyway,ANY,0.0
0.7,anyways,ANY,0.0
0.7,apathetic,JJ,-1.0
0.7,apathetic,NN,-1.0
0.7,apathetically,RB,-1.0
0.7,apathy,NN,-1.0
0.7,ape,VB,-1.0
0.7,apocalypse,NN,-1.0
0.7,apocalyptic,JJ,-1.0
0.7,apologist,JJ,-1.0
0.7,apologist,NN,-1.0
0.7,apologists,JJ,-1.0
0.7,apologists,NN,-1.0
0.7,apostle,JJ,1.0
0.7,apostle,NN,1.0
0.7,apotheosis,JJ,1.0
0.7,apotheosis,NN,1.0
0.7,appal,VB,-1.0
0.7,appall,JJ,-1.0
0.7,appall,ANY,-1.0
0.7,appall,VB,-1.0
0.7,appalled,JJ,-1.0
0.7,appalling,JJ,-1.0
0.7,appallingly,ANY,-1.0
0.3,apparent,ANY,0.0
0.3,apparently,ANY,0.0
0.3,appeal,JJ,1.0
0.3,appeal,NN,1.0
0.3,appeal,VB,1.0
0.7,appealing,JJ,1.0
0.3,appear,ANY,0.0
0.3,appearance,JJ,0.0
0.3,appearance,NN,0.0
0.3,appease,VB,1.0
0.7,applaud,VB,1.0
0.3,appreciable,JJ,1.0
0.7,appreciate,VB,1.0
0.7,appreciation,JJ,1.0
0.7,appreciation,NN,1.0
0.7,appreciative,ANY,1.0
0.7,appreciatively,ANY,1.0
0.7,appreciativeness,ANY,1.0
0.3,apprehend,VB,0.0
0.7,apprehension,NN,-1.0
0.7,apprehensions,JJ,-1.0
0.7,apprehensions,NN,-1.0
0.7,apprehensive,JJ,-1.0
0.7,apprehensive,NN,-1.0
0.7,apprehensively,ANY,-1.0
0.3,appropriate,JJ,1.0
0.3,approval,NN,1.0
0.3,approve,VB,1.0
0.3,apt,JJ,1.0
0.3,aptly,RB,1.0
0.3,aptitude,NN,1.0
0.7,arbitrary,JJ,-1.0
0.7,arcane,JJ,-1.0
0.7,archaic,JJ,-1.0
0.7,ardent,JJ,1.0
0.7,ardently,ANY,1.0
0.7,ardor,NN,1.0
0.7,arduous,JJ,-1.0
0.7,arduously,ANY,-1.0
0.3,aristocratic,JJ,1.0
0.7,argue,VB,-1.0
0.3,argument,JJ,-1.0
0.3,argument,NN,-1.0
0.7,argumentative,ANY,-1.0
0.3,arguments,JJ,-1.0
0.3,arguments,NN,-1.0
0.7,arousal,ANY,1.0
0.7,arouse,VB,1.0
0.7,arousing,ANY,1.0
0.7,arresting,JJ,1.0
0.7,arrogance,NN,-1.0
0.7,arrogant,JJ,-1.0
0.7,arrogant,ANY,-1.0
0.7,arrogantly,ANY,-1.0
0.7,arrogantly,ANY,-1.0
0.7,articulate,JJ,1.0
0.3,artificial,JJ,-1.0
0.7,ascendant,JJ,1.0
0.7,ascendant,NN,1.0
0.7,ascertainable,JJ,1.0
0.7,ascertainable,NN,1.0
0.7,ashamed,JJ,-1.0
0.7,asinine,JJ,-1.0
0.7,asininely,RB,-1.0
0.7,asinininity,NN,-1.0
0.7,askance,RB,-1.0
0.7,asperse,VB,-1.0
0.7,aspersion,NN,-1.0
0.7,aspersions,NN,-1.0
0.7,aspiration,NN,1.0
0.7,aspirations,JJ,1.0
0.7,aspirations,NN,1.0
0.7,aspire,VB,1.0
0.3,assail,VB,-1.0
0.3,assassinate,VB,-1.0
0.7,assassin,NN,-1.0
0.3,assault,JJ,-1.0
0.3,assault,NN,-1.0
0.7,assent,VB,1.0
0.7,assertions,JJ,1.0
0.7,assertions,NN,1.0
0.3,assertive,JJ,1.0
0.7,assess,VB,0.0
0.3,assessment,JJ,0.0
0.3,assessment,NN,0.0
0.3,assessments,JJ,0.0
0.3,assessments,NN,0.0
0.3,asset,NN,1.0
0.7,assiduous,JJ,1.0
0.7,assiduously,RB,1.0
0.3,assuage,VB,1.0
0.3,assumption,JJ,0.0
0.3,assumption,NN,0.0
0.3,assurance,JJ,1.0
0.3,assurance,NN,1.0
0.3,assurances,JJ,1.0
0.3,assurances,NN,1.0
0.7,assure,VB,1.0
0.7,assuredly,ANY,1.0
0.7,astonish,VB,1.0
0.7,astonished,JJ,1.0
0.7,astonishing,JJ,1.0
0.7,astonishing,ANY,1.0
0.7,astonishingly,ANY,1.0
0.7,astonishment,NN,1.0
0.7,astound,VB,1.0
0.7,astounded,JJ,1.0
0.7,astounding,JJ,1.0
0.7,astounding,ANY,1.0
0.7,astounding,ANY,1.0
0.7,astoundingly,ANY,1.0
0.3,astray,JJ,-1.0
0.7,astronomic,JJ,0.0
0.7,astronomical,JJ,0.0
0.7,astronomically,ANY,0.0
0.7,astute,JJ,1.0
0.7,astutely,RB,1.0
0.7,asunder,ANY,-1.0
0.3,asylum,JJ,1.0
0.3,asylum,NN,1.0
0.7,atrocious,JJ,-1.0
0.7,atrocities,NN,-1.0
0.7,atrocity,NN,-1.0
0.7,atrophy,VB,-1.0
0.3,attack,NN,-1.0
0.3,attack,VB,-1.0
0.3,attain,VB,1.0
0.3,attainable,JJ,1.0
0.7,attentive,JJ,1.0
0.7,attest,VB,1.0
0.7,attitude,JJ,0.0
0.7,attitude,NN,0.0
0.3,attitudes,JJ,0.0
0.3,attitudes,NN,0.0
0.7,attraction,JJ,1.0
0.7,attraction,NN,1.0
0.7,attractive,JJ,1.0
0.7,attractive,NN,1.0
0.7,attractively,ANY,1.0
0.3,attune,JJ,1.0
0.7,audacious,JJ,-1.0
0.7,audaciously,ANY,-1.0
0.7,audaciousness,NN,-1.0
0.7,audacity,NN,-1.0
0.7,auspicious,JJ,1.0
0.7,austere,JJ,-1.0
0.3,authentic,JJ,1.0
0.3,authoritarian,JJ,-1.0
0.3,authoritative,JJ,1.0
0.7,autocrat,NN,-1.0
0.7,autocratic,JJ,-1.0
0.3,award,JJ,1.0
0.3,award,VB,1.0
0.7,awareness,NN,0.0
0.7,aware,JJ,0.0
0.7,autocratic,JJ,-1.0
0.7,autocratic,NN,-1.0
0.3,autonomous,JJ,1.0
0.7,avalanche,JJ,-1.0
0.7,avalanche,NN,-1.0
0.7,avarice,NN,-1.0
0.7,avaricious,JJ,-1.0
0.7,avariciously,JJ,-1.0
0.7,avenge,VB,-1.0
0.7,aver,VB,1.0
0.7,averse,ANY,-1.0
0.7,aversion,NN,-1.0
0.7,avid,JJ,1.0
0.7,avidly,ANY,1.0
0.3,avoid,VB,-1.0
0.3,avoidance,NN,-1.0
0.7,awe,NN,1.0
0.7,awe,VB,1.0
0.7,awed,JJ,1.0
0.7,awesome,JJ,1.0
0.7,awesome,ANY,1.0
0.7,awesomely,ANY,1.0
0.7,awesomeness,NN,1.0
0.7,awestruck,JJ,1.0
0.7,awful,JJ,-1.0
0.7,awful,ANY,-1.0
0.7,awfully,ANY,-1.0
0.7,awfulness,ANY,-1.0
0.7,awfulness,NN,-1.0
0.7,awkward,JJ,-1.0
0.7,awkwardness,NN,-1.0
0.7,ax,VB,-1.0
0.7,babble,VB,-1.0
0.7,baby,JJ,0.0
0.7,baby,NN,0.0
0.3,back,VB,1.0
0.7,backbite,VB,-1.0
0.7,backbiting,ANY,-1.0
0.3,backbone,NN,1.0
0.7,backward,JJ,-1.0
0.7,backwardness,NN,-1.0
0.7,bad,JJ,-1.0
0.7,badly,JJ,-1.0
0.7,baffle,VB,-1.0
0.7,baffled,JJ,-1.0
0.7,bafflement,NN,-1.0
0.7,baffling,ANY,-1.0
0.7,bait,VB,-1.0
0.3,balanced,JJ,1.0
0.7,balk,VB,-1.0
0.7,banal,JJ,-1.0
0.7,banal,ANY,-1.0
0.7,banalize,VB,-1.0
0.7,bane,NN,-1.0
0.7,banish,JJ,-1.0
0.7,banish,VB,-1.0
0.7,banishment,NN,-1.0
0.3,bankrupt,JJ,-1.0
0.3,bankrupt,VB,-1.0
0.3,bar,VB,-1.0
0.7,barbarian,JJ,-1.0
0.7,barbarian,NN,-1.0
0.7,barbaric,JJ,-1.0
0.7,barbarically,ANY,-1.0
0.7,barbarity,JJ,-1.0
0.7,barbarity,NN,-1.0
0.7,barbarous,JJ,-1.0
0.7,barbarous,ANY,-1.0
0.7,barbarously,ANY,-1.0
0.3,barely,ANY,-1.0
0.7,bargain,NN,1.0
0.7,bargain,JJ,1.0
0.7,barren,JJ,-1.0
0.7,baseless,JJ,-1.0
0.7,bashful,JJ,-1.0
0.3,basic,JJ,1.0
0.3,basically,ANY,0.0
0.3,bask,VB,1.0
0.7,bastard,ANY,-1.0
0.7,bastard,NN,-1.0
0.3,batons,JJ,0.0
0.3,batons,NN,0.0
0.3,battered,JJ,-1.0
0.3,battering,JJ,-1.0
0.3,battering,NN,-1.0
0.3,battle,VB,-1.0
0.7,battle-lines,JJ,-1.0
0.7,battle-lines,NN,-1.0
0.3,battlefield,NN,-1.0
0.7,battleground,JJ,-1.0
0.7,battleground,NN,-1.0
0.7,batty,JJ,-1.0
0.3,beacon,NN,1.0
0.3,bearish,JJ,-1.0
0.7,beast,JJ,-1.0
0.7,beast,NN,-1.0
0.7,beastly,JJ,-1.0
0.7,beatify,VB,1.0
0.7,beauteous,JJ,1.0
0.7,beautiful,JJ,1.0
0.7,beautiful,ANY,1.0
0.7,beautifully,ANY,1.0
0.7,beautify,VB,1.0
0.7,beauty,NN,1.0
0.7,bedlam,NN,-1.0
0.7,bedlamite,NN,-1.0
0.7,befit,VB,1.0
0.7,befitting,JJ,1.0
0.7,befoul,VB,-1.0
0.7,befriend,VB,1.0
0.7,beg,VB,-1.0
0.3,beggar,NN,-1.0
0.7,beggarly,JJ,-1.0
0.7,begging,JJ,-1.0
0.7,begging,NN,-1.0
0.7,beguile,VB,-1.0
0.3,belated,JJ,-1.0
0.7,belabor,VB,-1.0
0.7,beleaguer,VB,-1.0
0.7,belie,VB,-1.0
0.7,belief,JJ,0.0
0.7,belief,NN,0.0
0.3,beliefs,JJ,0.0
0.3,beliefs,NN,0.0
0.7,believable,JJ,1.0
0.7,believe,VB,0.0
0.7,belittle,VB,-1.0
0.7,belittled,JJ,-1.0
0.7,belittling,ANY,-1.0
0.7,bellicose,JJ,-1.0
0.7,bellicose,NN,-1.0
0.7,belligerence,NN,-1.0
0.7,belligerent,JJ,-1.0
0.7,belligerent,ANY,-1.0
0.7,belligerently,ANY,-1.0
0.7,beloved,JJ,1.0
0.7,bemoan,VB,-1.0
0.7,bemoaning,JJ,-1.0
0.7,bemused,JJ,-1.0
0.3,benefactor,NN,1.0
0.3,beneficial,JJ,1.0
0.7,beneficent,JJ,1.0
0.7,beneficial,ANY,1.0
0.7,beneficially,ANY,1.0
0.7,beneficiary,JJ,1.0
0.7,beneficiary,NN,1.0
0.3,benefit,JJ,1.0
0.3,benefit,NN,1.0
0.3,benefits,JJ,1.0
0.3,benefits,NN,1.0
0.7,benevolence,NN,1.0
0.7,benevolent,JJ,1.0
0.3,benign,JJ,1.0
0.3,bent,JJ,-1.0
0.7,berate,VB,-1.0
0.7,bereave,VB,-1.0
0.7,bereavement,NN,-1.0
0.7,bereft,ANY,-1.0
0.7,berserk,JJ,-1.0
0.7,beseech,VB,-1.0
0.3,beset,JJ,-1.0
0.7,besides,ANY,0.0
0.3,besiege,VB,-1.0
0.7,besmirch,VB,-1.0
0.7,best,ANY,1.0
0.7,best-known,JJ,1.0
0.7,best-performing,JJ,1.0
0.3,best-selling,JJ,1.0
0.7,bestial,JJ,-1.0
0.7,betray,VB,-1.0
0.7,betrayal,NN,-1.0
0.7,betrayals,NN,-1.0
0.7,betrayer,NN,-1.0
0.7,better,JJ,1.0
0.3,better,ANY,1.0
0.7,better-known,JJ,1.0
0.7,better-than-expected,JJ,1.0
0.7,bewail,VB,-1.0
0.3,beware,VB,-1.0
0.7,bewilder,VB,-1.0
0.7,bewildered,JJ,-1.0
0.7,bewildering,JJ,-1.0
0.7,bewildering,ANY,-1.0
0.7,bewilderingly,ANY,-1.0
0.7,bewilderment,NN,-1.0
0.7,bewitch,VB,-1.0
0.7,bias,JJ,-1.0
0.7,bias,NN,-1.0
0.7,bias,VB,-1.0
0.7,biased,JJ,-1.0
0.7,biased,NN,-1.0
0.7,biases,JJ,-1.0
0.7,biases,NN,-1.0
0.7,bicker,VB,-1.0
0.7,bickering,ANY,-1.0
0.3,bid-rigging,JJ,-1.0
0.3,big,JJ,0.0
0.7,bitch,VB,-1.0
0.7,bitchy,JJ,-1.0
0.7,biting,JJ,-1.0
0.7,bitingly,ANY,-1.0
0.7,bitter,JJ,-1.0
0.7,bitterly,ANY,-1.0
0.7,bitterness,NN,-1.0
0.7,bizarre,JJ,-1.0
0.7,blab,VB,-1.0
0.7,blabber,VB,-1.0
0.3,black,JJ,-1.0
0.3,blackmail,VB,-1.0
0.7,blah,ANY,-1.0
0.7,blame,JJ,-1.0
0.7,blame,NN,-1.0
0.7,blame,VB,-1.0
0.7,blameless,JJ,1.0
0.7,blameworthy,JJ,-1.0
0.7,bland,JJ,-1.0
0.7,blandish,VB,-1.0
0.7,blaspheme,VB,-1.0
0.7,blasphemous,JJ,-1.0
0.7,blasphemous,ANY,-1.0
0.7,blasphemy,NN,-1.0
0.3,blast,ANY,-1.0
0.7,blasted,ANY,-1.0
0.7,blatant,JJ,-1.0
0.7,blatantly,JJ,-1.0
0.7,blather,VB,-1.0
0.7,bleak,JJ,-1.0
0.7,bleakly,ANY,-1.0
0.7,bleakness,NN,-1.0
0.3,bleed,VB,-1.0
0.3,blemish,NN,-1.0
0.3,blemish,VB,-1.0
0.7,bless,VB,1.0
0.7,blessing,JJ,1.0
0.7,blessing,NN,1.0
0.3,blind,ANY,-1.0
0.7,blinding,JJ,-1.0
0.7,blinding,ANY,-1.0
0.7,blindingly,JJ,-1.0
0.3,blindness,JJ,-1.0
0.7,blindside,VB,-1.0
0.7,bliss,NN,1.0
0.7,blissful,JJ,1.0
0.7,blissfully,RB,1.0
0.7,blister,VB,-1.0
0.7,blistering,JJ,-1.0
0.7,blithe,JJ,1.0
0.7,bloated,JJ,-1.0
0.3,block,NN,-1.0
0.3,block,VB,-1.0
0.7,blockhead,JJ,-1.0
0.3,blood,JJ,0.0
0.3,blood,NN,-1.0
0.7,bloodshed,NN,-1.0
0.7,bloodthirsty,JJ,-1.0
0.3,bloody,JJ,-1.0
0.3,bloom,VB,1.0
0.3,blossom,VB,1.0
0.3,blow,JJ,-1.0
0.3,blow,NN,-1.0
0.7,blunder,JJ,-1.0
0.7,blunder,NN,-1.0
0.7,blundering,ANY,-1.0
0.7,blunders,ANY,-1.0
0.7,blunt,JJ,-1.0
0.3,blur,VB,-1.0
0.7,blurt,VB,-1.0
0.7,boast,VB,1.0
0.7,boast,VB,-1.0
0.7,boastful,JJ,-1.0
0.7,boggle,VB,-1.0
0.7,bogus,JJ,-1.0
0.7,boil,VB,-1.0
0.7,boiling,RB,-1.0
0.7,boisterous,JJ,-1.0
0.7,bold,JJ,1.0
0.7,boldly,RB,1.0
0.7,boldness,NN,1.0
0.7,bolster,VB,1.0
0.3,bombard,VB,-1.0
0.3,bomb,VB,-1.0
0.7,bombardment,JJ,-1.0
0.7,bombardment,NN,-1.0
0.7,bombastic,JJ,-1.0
0.7,bondage,NN,-1.0
